run_id,factory_name,factory_location,factory_type,date,base_production_capacity,adjusted_production_units,production_impact_factor,active_risks,lead_time_days,simulated_demand_units,shipped_units,inventory_level_units,shortage_units,safety_stock_level
run_005,Foundry_Taiwan_A,Taiwan,Foundry,2020-01-05,10655,10527,1.0,none,22,8999,8999,68339,0,6681
run_005,IDM_USA_B,USA,IDM,2020-01-05,10108,9867,1.0,none,25,9657,9657,50176,0,4996
run_005,OSAT_Malaysia_C,Malaysia,OSAT,2020-01-05,19334,18651,1.0,none,17,7644,7644,71485,0,6047
run_005,Foundry_Germany_D,Germany,Foundry,2020-01-05,10656,10091,1.0,none,33,7186,7186,50707,0,4780
run_005,Foundry_Taiwan_A,Taiwan,Foundry,2020-01-12,10655,10627,1.0,none,22,6775,6775,72191,0,6681
run_005,IDM_USA_B,USA,IDM,2020-01-12,10108,10508,1.0,none,22,7023,7023,53661,0,4996
run_005,OSAT_Malaysia_C,Malaysia,OSAT,2020-01-12,19334,18985,1.0,logistics_bottleneck (Active),38,7174,7174,83296,0,6047
run_005,Foundry_Germany_D,Germany,Foundry,2020-01-12,10656,11188,1.0,none,33,6384,6384,55511,0,4780
run_005,Foundry_Taiwan_A,Taiwan,Foundry,2020-01-19,10655,9916,1.0,none,23,10196,10196,71911,0,6681
run_005,IDM_USA_B,USA,IDM,2020-01-19,10108,9991,1.0,logistics_bottleneck (Active),43,11191,11191,52461,0,4996
run_005,OSAT_Malaysia_C,Malaysia,OSAT,2020-01-19,19334,20336,1.0,logistics_bottleneck (Active),42,11071,11071,92561,0,6047
run_005,Foundry_Germany_D,Germany,Foundry,2020-01-19,10656,10763,1.0,none,30,10187,10187,56087,0,4780
run_005,Foundry_Taiwan_A,Taiwan,Foundry,2020-01-26,10655,11279,1.0,none,28,6551,6551,76639,0,6681
run_005,IDM_USA_B,USA,IDM,2020-01-26,10108,8213,0.779,"geopolitical_tension (Active), logistics_bottleneck (Active)",44,5341,5341,55333,0,4996
run_005,OSAT_Malaysia_C,Malaysia,OSAT,2020-01-26,19334,19451,1.0,logistics_bottleneck (Recovery),21,8868,8868,103144,0,6047
run_005,Foundry_Germany_D,Germany,Foundry,2020-01-26,10656,10266,1.0,none,30,8173,8173,58180,0,4780
run_005,Foundry_Taiwan_A,Taiwan,Foundry,2020-02-02,10655,1312,0.131,cyber_attack (Active),34,7660,7660,70291,0,6681
run_005,IDM_USA_B,USA,IDM,2020-02-02,10108,8084,0.779,"geopolitical_tension (Active), logistics_bottleneck (Recovery)",42,7563,7563,55854,0,4996
run_005,OSAT_Malaysia_C,Malaysia,OSAT,2020-02-02,19334,19486,1.0,none,22,7201,7201,115429,0,6047
run_005,Foundry_Germany_D,Germany,Foundry,2020-02-02,10656,10926,1.0,none,34,4769,4769,64337,0,4780
run_005,Foundry_Taiwan_A,Taiwan,Foundry,2020-02-09,10655,1454,0.131,cyber_attack (Active),31,7016,7016,64729,0,6681
