run_id,factory_name,factory_location,factory_type,date,base_production_capacity,adjusted_production_units,production_impact_factor,active_risks,lead_time_days,simulated_demand_units,shipped_units,inventory_level_units,shortage_units,safety_stock_level
run_038,Foundry_Taiwan_A,Taiwan,Foundry,2020-01-05,14461,14831,1.0,none,33,5459,5459,83739,0,7436
run_038,IDM_USA_B,USA,IDM,2020-01-05,8353,8743,1.0,none,24,7507,7507,47690,0,4645
run_038,OSAT_Malaysia_C,Malaysia,OSAT,2020-01-05,17820,18888,1.0,none,21,8394,8394,90629,0,8013
run_038,Foundry_Germany_D,Germany,Foundry,2020-01-05,7467,7296,1.0,none,30,5549,5549,51066,0,4931
run_038,Foundry_Taiwan_A,Taiwan,Foundry,2020-01-12,14461,13584,1.0,none,31,5124,5124,92199,0,7436
run_038,IDM_USA_B,USA,IDM,2020-01-12,8353,7391,1.0,none,25,5765,5765,49316,0,4645
run_038,OSAT_Malaysia_C,Malaysia,OSAT,2020-01-12,17820,18084,1.0,none,17,7017,7017,101696,0,8013
run_038,Foundry_Germany_D,Germany,Foundry,2020-01-12,7467,7334,1.0,none,33,10507,10507,47893,0,4931
run_038,Foundry_Taiwan_A,Taiwan,Foundry,2020-01-19,14461,14759,1.0,none,35,9758,9758,97200,0,7436
run_038,IDM_USA_B,USA,IDM,2020-01-19,8353,4130,0.551,pandemic_closure (Active),59,6444,6444,47002,0,4645
run_038,OSAT_Malaysia_C,Malaysia,OSAT,2020-01-19,17820,17417,1.0,none,18,10334,10334,108779,0,8013
run_038,Foundry_Germany_D,Germany,Foundry,2020-01-19,7467,7226,1.0,none,31,6089,6089,49030,0,4931
run_038,Foundry_Taiwan_A,Taiwan,Foundry,2020-01-26,14461,15187,1.0,logistics_bottleneck (Active),75,7513,7513,104874,0,7436
run_038,IDM_USA_B,USA,IDM,2020-01-26,8353,4423,0.551,pandemic_closure (Active),63,5822,5822,45603,0,4645
run_038,OSAT_Malaysia_C,Malaysia,OSAT,2020-01-26,17820,18101,1.0,none,14,6610,6610,120270,0,8013
run_038,Foundry_Germany_D,Germany,Foundry,2020-01-26,7467,7724,1.0,none,28,10487,10487,46267,0,4931
run_038,Foundry_Taiwan_A,Taiwan,Foundry,2020-02-02,14461,14244,1.0,logistics_bottleneck (Recovery),34,9590,9590,109528,0,7436
run_038,IDM_USA_B,USA,IDM,2020-02-02,8353,4133,0.551,pandemic_closure (Active),63,5891,5891,43845,0,4645
run_038,OSAT_Malaysia_C,Malaysia,OSAT,2020-02-02,17820,18770,1.0,none,18,8653,8653,130387,0,8013
run_038,Foundry_Germany_D,Germany,Foundry,2020-02-02,7467,7885,1.0,none,34,8588,8588,45564,0,4931
run_038,Foundry_Taiwan_A,Taiwan,Foundry,2020-02-09,14461,14974,1.0,none,37,7427,7427,117075,0,7436
run_038,IDM_USA_B,USA,IDM,2020-02-09,8353,4576,0.551,pandemic_closure (Active),62,5320,5320,43101,0,4645
run_038,OSAT_Malaysia_C,Malaysia,OSAT,2020-02-09,17820,19630,1.0,none,13,5134,5134,144883,0,8013
run_038,Foundry_Germany_D,Germany,Foundry,2020-02-09,7467,7974,1.0,none,32,5553,5553,47985,0,4931
run_038,Foundry_Taiwan_A,Taiwan,Foundry,2020-02-16,14461,14374,1.0,none,30,3580,3580,127869,0,7436
run_038,IDM_USA_B,USA,IDM,2020-02-16,8353,4702,0.551,pandemic_closure (Active),61,8078,8078,39725,0,4645
run_038,OSAT_Malaysia_C,Malaysia,OSAT,2020-02-16,17820,18293,1.0,none,14,5768,5768,157408,0,8013
run_038,Foundry_Germany_D,Germany,Foundry,2020-02-16,7467,5758,0.781,trade_restrictions (Active),49,7038,7038,46705,0,4931
run_038,Foundry_Taiwan_A,Taiwan,Foundry,2020-02-23,14461,14900,1.0,none,33,7341,7341,135428,0,7436
run_038,IDM_USA_B,USA,IDM,2020-02-23,8353,4846,0.551,pandemic_closure (Active),62,5225,5225,39346,0,4645
run_038,OSAT_Malaysia_C,Malaysia,OSAT,2020-02-23,17820,16763,1.0,none,19,8159,8159,166012,0,8013
run_038,Foundry_Germany_D,Germany,Foundry,2020-02-23,7467,6173,0.781,trade_restrictions (Active),54,11377,11377,41501,0,4931
run_038,Foundry_Taiwan_A,Taiwan,Foundry,2020-03-01,14461,14363,1.0,none,31,9488,9488,140303,0,7436
run_038,IDM_USA_B,USA,IDM,2020-03-01,8353,4788,0.551,pandemic_closure (Active),64,6157,6157,37977,0,4645
run_038,OSAT_Malaysia_C,Malaysia,OSAT,2020-03-01,17820,9380,0.535,pandemic_closure (Active),28,9775,9775,165617,0,8013
run_038,Foundry_Germany_D,Germany,Foundry,2020-03-01,7467,5813,0.781,trade_restrictions (Active),49,10172,10172,37142,0,4931
run_038,Foundry_Taiwan_A,Taiwan,Foundry,2020-03-08,14461,14957,1.0,none,35,8169,8169,147091,0,7436
run_038,IDM_USA_B,USA,IDM,2020-03-08,8353,4631,0.551,pandemic_closure (Active),61,10051,10051,32557,0,4645
run_038,OSAT_Malaysia_C,Malaysia,OSAT,2020-03-08,17820,9569,0.535,"logistics_bottleneck (Active), pandemic_closure (Active)",26,10106,10106,165080,0,8013
run_038,Foundry_Germany_D,Germany,Foundry,2020-03-08,7467,6118,0.781,trade_restrictions (Active),53,7662,7662,35598,0,4931
run_038,Foundry_Taiwan_A,Taiwan,Foundry,2020-03-15,14461,14735,1.0,none,33,4956,4956,156870,0,7436
run_038,IDM_USA_B,USA,IDM,2020-03-15,8353,4216,0.551,pandemic_closure (Active),62,8284,8284,28489,0,4645
run_038,OSAT_Malaysia_C,Malaysia,OSAT,2020-03-15,17820,9886,0.535,"logistics_bottleneck (Active), pandemic_closure (Active)",25,7312,7312,167654,0,8013
run_038,Foundry_Germany_D,Germany,Foundry,2020-03-15,7467,6094,0.781,trade_restrictions (Active),52,5509,5509,36183,0,4931
run_038,Foundry_Taiwan_A,Taiwan,Foundry,2020-03-22,14461,14578,1.0,none,31,9960,9960,161488,0,7436
run_038,IDM_USA_B,USA,IDM,2020-03-22,8353,4257,0.551,pandemic_closure (Active),66,7060,7060,25686,0,4645
run_038,OSAT_Malaysia_C,Malaysia,OSAT,2020-03-22,17820,9626,0.535,"logistics_bottleneck (Active), pandemic_closure (Active)",29,9798,9798,167482,0,8013
run_038,Foundry_Germany_D,Germany,Foundry,2020-03-22,7467,6136,0.781,trade_restrictions (Active),52,7039,7039,35280,0,4931
run_038,Foundry_Taiwan_A,Taiwan,Foundry,2020-03-29,14461,15371,1.0,none,31,8487,8487,168372,0,7436
