run_id,factory_name,factory_location,factory_type,date,base_production_capacity,adjusted_production_units,production_impact_factor,active_risks,lead_time_days,simulated_demand_units,shipped_units,inventory_level_units,shortage_units,safety_stock_level
run_009,Foundry_Taiwan_A,Taiwan,Foundry,2020-01-05,14866,14805,1.0,none,27,4548,4548,88371,0,7811
run_009,IDM_USA_B,USA,IDM,2020-01-05,11769,11374,1.0,none,21,5820,5820,63217,0,5766
run_009,OSAT_Malaysia_C,Malaysia,OSAT,2020-01-05,16118,15856,1.0,none,12,10032,10032,70085,0,6426
run_009,Foundry_Germany_D,Germany,Foundry,2020-01-05,7738,7361,1.0,none,34,9284,9284,35375,0,3729
run_009,Foundry_Taiwan_A,Taiwan,Foundry,2020-01-12,14866,14613,1.0,none,29,7809,7809,95175,0,7811
run_009,IDM_USA_B,USA,IDM,2020-01-12,11769,11313,1.0,none,21,7575,7575,66955,0,5766
run_009,OSAT_Malaysia_C,Malaysia,OSAT,2020-01-12,16118,15302,1.0,none,14,5250,5250,80137,0,6426
run_009,Foundry_Germany_D,Germany,Foundry,2020-01-12,7738,7999,1.0,none,39,7336,7336,36038,0,3729
run_009,Foundry_Taiwan_A,Taiwan,Foundry,2020-01-19,14866,14939,1.0,none,28,9972,9972,100142,0,7811
run_009,IDM_USA_B,USA,IDM,2020-01-19,11769,11767,1.0,none,22,6831,6831,71891,0,5766
run_009,OSAT_Malaysia_C,Malaysia,OSAT,2020-01-19,16118,14937,1.0,none,14,7288,7288,87786,0,6426
run_009,Foundry_Germany_D,Germany,Foundry,2020-01-19,7738,7,0.001,natural_disaster (Active),90,4035,4035,32010,0,3729
run_009,Foundry_Taiwan_A,Taiwan,Foundry,2020-01-26,14866,6123,0.405,pandemic_closure (Active),48,6308,6308,99957,0,7811
run_009,IDM_USA_B,USA,IDM,2020-01-26,11769,12453,1.0,none,20,6885,6885,77459,0,5766
run_009,OSAT_Malaysia_C,Malaysia,OSAT,2020-01-26,16118,16321,1.0,none,12,8164,8164,95943,0,6426
run_009,Foundry_Germany_D,Germany,Foundry,2020-01-26,7738,7,0.001,natural_disaster (Active),90,7215,7215,24802,0,3729
run_009,Foundry_Taiwan_A,Taiwan,Foundry,2020-02-02,14866,6035,0.405,pandemic_closure (Active),49,8088,8088,97904,0,7811
run_009,IDM_USA_B,USA,IDM,2020-02-02,11769,12326,1.0,none,17,10155,10155,79630,0,5766
run_009,OSAT_Malaysia_C,Malaysia,OSAT,2020-02-02,16118,15867,1.0,none,10,7443,7443,104367,0,6426
run_009,Foundry_Germany_D,Germany,Foundry,2020-02-02,7738,7,0.001,natural_disaster (Active),90,4956,4956,19853,0,3729
run_009,Foundry_Taiwan_A,Taiwan,Foundry,2020-02-09,14866,6377,0.405,pandemic_closure (Active),46,8188,8188,96093,0,7811
run_009,IDM_USA_B,USA,IDM,2020-02-09,11769,11662,1.0,none,19,6501,6501,84791,0,5766
run_009,OSAT_Malaysia_C,Malaysia,OSAT,2020-02-09,16118,15396,1.0,none,14,9068,9068,110695,0,6426
run_009,Foundry_Germany_D,Germany,Foundry,2020-02-09,7738,7,0.001,natural_disaster (Active),90,7536,7536,12324,0,3729
run_009,Foundry_Taiwan_A,Taiwan,Foundry,2020-02-16,14866,6118,0.405,pandemic_closure (Active),47,5091,5091,97120,0,7811
run_009,IDM_USA_B,USA,IDM,2020-02-16,11769,11806,1.0,none,19,7487,7487,89110,0,5766
run_009,OSAT_Malaysia_C,Malaysia,OSAT,2020-02-16,16118,14792,1.0,none,13,8991,8991,116496,0,6426
run_009,Foundry_Germany_D,Germany,Foundry,2020-02-16,7738,7,0.001,natural_disaster (Active),90,5666,5666,6665,0,3729
run_009,Foundry_Taiwan_A,Taiwan,Foundry,2020-02-23,14866,6407,0.405,pandemic_closure (Active),46,4168,4168,99359,0,7811
run_009,IDM_USA_B,USA,IDM,2020-02-23,11769,12358,1.0,none,19,8390,8390,93078,0,5766
run_009,OSAT_Malaysia_C,Malaysia,OSAT,2020-02-23,16118,17894,1.0,none,13,8920,8920,125470,0,6426
run_009,Foundry_Germany_D,Germany,Foundry,2020-02-23,7738,7,0.001,natural_disaster (Active),90,6327,6327,345,0,3729
run_009,Foundry_Taiwan_A,Taiwan,Foundry,2020-03-01,14866,5720,0.405,pandemic_closure (Active),49,10804,10804,94275,0,7811
run_009,IDM_USA_B,USA,IDM,2020-03-01,11769,12233,1.0,none,20,6083,6083,99228,0,5766
run_009,OSAT_Malaysia_C,Malaysia,OSAT,2020-03-01,16118,16736,1.0,none,16,6613,6613,135593,0,6426
run_009,Foundry_Germany_D,Germany,Foundry,2020-03-01,7738,672,0.09,"cyber_attack (Active), natural_disaster (Recovery)",47,6903,1017,0,5886,3729
run_009,Foundry_Taiwan_A,Taiwan,Foundry,2020-03-08,14866,6121,0.405,pandemic_closure (Active),48,5098,5098,95298,0,7811
run_009,IDM_USA_B,USA,IDM,2020-03-08,11769,11136,1.0,none,21,8471,8471,101893,0,5766
run_009,OSAT_Malaysia_C,Malaysia,OSAT,2020-03-08,16118,15953,1.0,none,18,8649,8649,142897,0,6426
run_009,Foundry_Germany_D,Germany,Foundry,2020-03-08,7738,1248,0.179,"cyber_attack (Active), natural_disaster (Recovery)",43,10788,1248,0,9540,3729
run_009,Foundry_Taiwan_A,Taiwan,Foundry,2020-03-15,14866,8290,0.554,pandemic_closure (Recovery),27,7729,7729,95859,0,7811
run_009,IDM_USA_B,USA,IDM,2020-03-15,11769,11826,1.0,none,17,9809,9809,103910,0,5766
run_009,OSAT_Malaysia_C,Malaysia,OSAT,2020-03-15,16118,16587,1.0,none,13,7850,7850,151634,0,6426
run_009,Foundry_Germany_D,Germany,Foundry,2020-03-15,7738,2054,0.268,"cyber_attack (Active), natural_disaster (Recovery)",43,5841,2054,0,3787,3729
run_009,Foundry_Taiwan_A,Taiwan,Foundry,2020-03-22,14866,10486,0.703,pandemic_closure (Recovery),33,7950,7950,98395,0,7811
run_009,IDM_USA_B,USA,IDM,2020-03-22,11769,11820,1.0,none,18,8329,8329,107401,0,5766
run_009,OSAT_Malaysia_C,Malaysia,OSAT,2020-03-22,16118,15914,1.0,logistics_bottleneck (Active),32,6945,6945,160603,0,6426
run_009,Foundry_Germany_D,Germany,Foundry,2020-03-22,7738,4634,0.579,"cyber_attack (Recovery), natural_disaster (Recovery)",37,7443,4634,0,2809,3729
